building_id,meter,timestamp,meter_reading,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
0,0,2016-01-01 00:00:00,0.0,0,Education,7432,2.008e+03,,20.0,2.0,20.0,-1.0,1.02e+03,250.0,2.6
50,0,2016-01-01 00:00:00,0.0,0,Other,4698,1.981e+03,,20.0,2.0,20.0,-1.0,1.02e+03,250.0,2.6
100,0,2016-01-01 00:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,20.0,2.0,20.0,-1.0,1.02e+03,250.0,2.6
150,0,2016-01-01 00:00:00,161.7,1,Office,65657,1.955e+03,8.0,3.8,,2.4,,1.021e+03,240.0,3.1
0,0,2016-01-01 01:00:00,0.0,0,Education,7432,2.008e+03,,19.4,,19.4,0.0,,0.0,0.0
50,0,2016-01-01 01:00:00,0.0,0,Other,4698,1.981e+03,,19.4,,19.4,0.0,,0.0,0.0
100,0,2016-01-01 01:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,19.4,,19.4,0.0,,0.0,0.0
150,0,2016-01-01 01:00:00,319.9,1,Office,65657,1.955e+03,8.0,3.7,0.0,2.4,,1.0215e+03,230.0,2.6
0,0,2016-01-01 02:00:00,0.0,0,Education,7432,2.008e+03,,21.1,6.0,21.1,-1.0,1.0195e+03,0.0,0.0
50,0,2016-01-01 02:00:00,0.0,0,Other,4698,1.981e+03,,21.1,6.0,21.1,-1.0,1.0195e+03,0.0,0.0
100,0,2016-01-01 02:00:00,0.0,0,Lodging/residential,24456,1.968e+03,,21.1,6.0,21.1,-1.0,1.0195e+03,0.0,0.0
150,0,2016-01-01 02:00:00,317.6,1,Office,65657,1.955e+03,8.0,2.6,0.0,1.9,,1.022e+03,0.0,0.0
0,0,2016-01-01 03:00:00,0.0,0,Education,7432,2.008e+03,,21.1,,21.1,0.0,1.019e+03,210.0,1.5
50,0,2016-01-01 03:00:00,0.0,0,Other,4698,1.981e+03,,21.1,,21.1,0.0,1.019e+03,210.0,1.5
